,tweet_id,favorites,retweets
2111,670408998013820928,586,240
2112,670403879788544000,453,171
2113,670385711116361728,583,231
2114,670374371102445568,774,289
2115,670361874861563904,340,71
2116,670338931251150849,447,118
2117,670319130621435904,4045,1327
2118,670303360680108032,443,147
2119,670290420111441920,739,310
2120,670093938074779648,1090,360
2121,670086499208155136,727,269
2122,670079681849372674,2340,1350
2123,670073503555706880,1641,853
2124,670069087419133954,666,268
2125,670061506722140161,801,371
2126,670055038660800512,702,355
2127,670046952931721218,677,191
2128,670040295598354432,787,117
2129,670037189829525505,616,300
2130,670003130994700288,346,99
2131,669993076832759809,337,90
2132,669972011175813120,463,173
2133,669970042633789440,316,65
2134,669942763794931712,528,180
2135,669926384437997569,393,112
2136,669923323644657664,246,62
2137,669753178989142016,843,428
2138,669749430875258880,285,70
2139,669684865554620416,547,95
2140,669683899023405056,410,117
2141,669682095984410625,369,142
2142,669680153564442624,700,309
2143,669661792646373376,844,469
2144,669625907762618368,3708,1929
2145,669603084620980224,995,394
2146,669597912108789760,539,162
2147,669583744538451968,1561,996
2148,669573570759163904,458,154
2149,669571471778410496,1664,1070
2150,669567591774625800,244,61
2151,669564461267722241,405,131
2152,669393256313184256,380,82
2153,669375718304980992,1402,776
2154,669371483794317312,517,192
2155,669367896104181761,481,169
2156,669363888236994561,657,248
2157,669359674819481600,384,133
2158,669354382627049472,2851,1364
2159,669353438988365824,678,277
2160,669351434509529089,467,203
2161,669328503091937280,1061,445
2162,669327207240699904,603,125
2163,669324657376567296,517,221
2164,669216679721873412,948,412
2165,669214165781868544,463,180
2166,669203728096960512,1060,513
2167,669037058363662336,683,329
2168,669015743032369152,775,395
2169,669006782128353280,600,266
2170,669000397445533696,21841,6817
2171,668994913074286592,462,251
2172,668992363537309700,786,377
2173,668989615043424256,714,350
2174,668988183816871936,949,511
2175,668986018524233728,577,181
2176,668981893510119424,567,331
2177,668979806671884288,832,376
2178,668975677807423489,1370,626
2179,668967877119254528,157,25
2180,668960084974809088,740,257
2181,668955713004314625,296,74
2182,668932921458302977,281,62
2183,668902994700836864,332,106
2184,668892474547511297,414,163
